評価,レビュー
不満足,序盤はなんとか、中盤でぎりぎり、終盤はまったく手つかず。プログラミング経験があるけれどPythonが初めての人が読む本であって、プログラミング自体が初めての人が読む本ではない。
不満足,サンプルの通りコードを書いてもエラーが発生する。後半で説明のあるクラスという要素が、前半で特に前置きもなく何度も登場するなど、非常に不親切。
満足,まさにこういう本を探していた。仕事などでもすぐに使えそうなコード実例があるので、読んだらすぐに、効率化を始めることができる。ボリュームが大きいので全編に目は通していないが、辞書的に読めば良いと思う。
不満足,前半こそ比較的丁寧な解説となっているものの、後半は基本的に解説文と複雑なコードが淡々と続くのでかなりしんどい。各節の目的がばらばらなので、ページをめくるたびに振り回されているような印象を受けた。
不満足,辞書的に読めば良いという方もいますが、それぞれの章を理解するためには、前の章の内容が理解できていることが前提となっているので、本当の初心者は最初から読み通さなければいけないと思います。ところどころサンプルコードでエラーが出てしまい、半知半解のままに進めざるを得ないこともあり、読み通すモチベーションが低下していきます。
不満足,難しすぎました。文法の説明が抽象的すぎてわかりませんでした。
不満足,プログラミングは学生のときに授業でCを少しかじった程度です。前半はPythonの基礎的な文法を総ざらいして、中盤から実践的な内容に移ります。本書の見どころとしては中盤以降となりますが、前半の文法の章が無味乾燥なので、全くの初学者には辛い所があるのは事実でしょう。一通りのプログラミングやPythonの文法を学んだ上で、2冊目、3冊目としての本として使うのが適切であるように思います。そういった意味ではタイトルが誇大広告と言えるかもしれません。
満足,サンプルコードでエラーが起こるものもあるが、インターネットで調べれば解決できるものが大半ですし、そうやって自力で調べることが結果的に今後プログラミングを続ける上で大事になってくるのではないでしょうか。応用の範囲も広いので、様々な側面で効率化が自分で図れるようになると思います。
不満足,何が何でもPythonのみで済ませようという印象だが他のPython用のライブラリを使ったものも記載しても良いのでは
不満足,前半の文法の章がくどいので、中盤以降の効率化だけをまとめたものが欲しい。初心者にとっては内容が複雑でありつつ、経験者にとっては不要な内容も多いので中途半端な内容ですね。
不満足,専門用語や抽象的な表現が多く、それらに対して説明や注釈が無いこともあります。自力で調べながら読む必要がありそうです。
不満足,スクレイピングのコードでエラーが出て上手く動かない
満足,難易度としては決して易しくはないですが、少しのコーディングで出来る効率化が沢山紹介されています。基本的な文法は類書でおさえて上で読むのをおすすめします。
不満足,初心者向けなのか中級者向けなのか、想定される読者層が中途半端な印象。ライブラリについても扱われているバージョンが古く、本書の通りには動きません。
満足,タイトル通りに「はじめて」の人が期待して読むと厳しいかなと思いますが、効率化したい対象がある人にとってはよくまとまっており、便利な本であると言えます。
不満足,後半になると一気に内容が複雑になる。前半までとギャップがあり、ついていくのがむずかしい。
不満足,レシピのような形でPythonを用いた効率化が列挙されている。ただし、それぞれの効率化に対して方法が記載されているのみであるため、使い所などのイメージがつかみづらい。
不満足,説明が複雑な上、コードのミスや誤植もちらほら。題材は良いものの、はじめて学ぶひとにとって向けた本でこれらのミスが多いのは致命的では。
不満足,クラスやラムダ式に関する説明が抽象的なままでコードによる解説がない。後半でこれらを用いたコードがあるが、理解が十分でないままに盲目的に利用するしかない。
満足,一部、抽象的な説明や、解説の粒度に難ありといったものも見られますが、本書全体から学べることは非常に多く満足度は低くありません。
不満足,良書ではあるとおもうが、はじめてPythonに触れる際に読む本ではない。
不満足,実用性は高いが、いかんせん難易度が高い。仕組みの解説が抽象的である一方で、実際のコードとしてドカッと長いものが登場するので、キャッチアップが相当に難しい。
満足,よくまとまっているので辞書のように使っています
満足,教養としてのプログラミングから一歩進んで、使えるプログラミングを目指すのに最適でしょう
不満足,タイトルには効率化とあるが、それぞれのプログラムについての背景説明など十分でないため、ひたすら淡々とドリルを解かされているようだった。
満足,すぐにプログラムを試せるように、サンプルデータがネットからダウンロードできます。気になったトピックを手を動かしながら取り組むことで、実践的なスキルが身につきます。
不満足,一通り目を通したものの消化不良。説明の粒度がまちまちで、具体例が必要以上に羅列されているところもあれば、抽象的な表現のみでとどまるところなどばらつきが大きい。
不満足,内容は良いが誤字脱字やエラーが多い。
不満足,この本以外で入門書を読破した人が次に取り組むのであれば悪くないと思う。しかし、何がなんでもPythonでプログラムというのにこだわりすぎている気がする。
不満足,思っていたよりも解説が薄い。効率化の例が載ってるので、できる人にとっては辞書のように必要に応じて参考にするといった使い方になるのだと思う。Pythonどころかプログラミングも初めてといった私にはちんぷんかんぷんでした。
